3歳未勝利,2018年07月01日 ,ダ右1700m, 小雨,函館
3歳未勝利,2018年07月01日 ,芝右1200m, 雨,函館
3歳未勝利,2018年07月01日 ,芝右1800m, 雨,函館
2歳新馬,2018年07月01日 ,芝右1200m, 雨,函館
3歳上500万下,2018年07月01日 ,芝右2000m, 小雨,函館
3歳上500万下,2018年07月01日 ,ダ右1000m, 小雨,函館
3歳上500万下,2018年07月01日 ,ダ右1700m, 曇,函館
3歳上500万下,2018年07月01日 ,芝右2600m, 曇,函館
檜山特別,2018年07月01日 ,ダ右1700m, 曇,函館
巴賞,2018年07月01日 ,芝右1800m, 曇,函館
道新スポーツ杯,2018年07月01日 ,芝右1200m, 曇,函館
2歳未勝利,2018年07月07日 ,芝右1200m, 小雨,函館
3歳未勝利,2018年07月07日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年07月07日 ,芝右1200m, 曇,函館
3歳未勝利,2018年07月07日 ,ダ右1700m, 曇,函館
2歳新馬,2018年07月07日 ,芝右1200m, 雨,函館
2歳新馬,2018年07月07日 ,ダ右1000m, 雨,函館
3歳未勝利,2018年07月07日 ,芝右1800m, 雨,函館
3歳上500万下,2018年07月07日 ,芝右1200m, 雨,函館
3歳上500万下,2018年07月07日 ,ダ右1700m, 雨,函館
八雲特別,2018年07月07日 ,芝右1800m, 雨,函館
五稜郭ステークス,2018年07月07日 ,芝右2000m, 雨,函館
噴火湾特別,2018年07月07日 ,ダ右1000m, 雨,函館
2歳未勝利,2018年07月08日 ,芝右1200m, 曇,函館
3歳未勝利,2018年07月08日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年07月08日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年07月08日 ,芝右2000m, 曇,函館
2歳新馬,2018年07月08日 ,芝右1800m, 曇,函館
3歳未勝利,2018年07月08日 ,芝右1200m, 曇,函館
3歳上500万下,2018年07月08日 ,ダ右1000m, 曇,函館
3歳上500万下,2018年07月08日 ,ダ右1700m, 曇,函館
3歳上500万下,2018年07月08日 ,芝右2000m, 曇,函館
立待岬特別,2018年07月08日 ,芝右1200m, 曇,函館
マリーンステークス,2018年07月08日 ,ダ右1700m, 曇,函館
かもめ島特別,2018年07月08日 ,芝右1800m, 曇,函館
2歳未勝利,2018年07月14日 ,ダ右1000m, 晴,函館
3歳未勝利,2018年07月14日 ,ダ右1700m, 晴,函館
3歳未勝利,2018年07月14日 ,芝右1200m, 曇,函館
3歳未勝利,2018年07月14日 ,芝右2600m, 曇,函館
2歳新馬,2018年07月14日 ,芝右1200m, 晴,函館
3歳未勝利,2018年07月14日 ,ダ右1700m, 晴,函館
3歳上500万下,2018年07月14日 ,ダ右2400m, 晴,函館
3歳上500万下,2018年07月14日 ,芝右1200m, 晴,函館
臥牛山特別,2018年07月14日 ,芝右2000m, 晴,函館
3歳上500万下,2018年07月14日 ,ダ右1700m, 晴,函館
STV杯,2018年07月14日 ,芝右1200m, 晴,函館
湯浜特別,2018年07月14日 ,芝右1800m, 晴,函館
2歳未勝利,2018年07月15日 ,芝右1200m, 曇,函館
3歳未勝利,2018年07月15日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年07月15日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年07月15日 ,芝右1200m, 曇,函館
2歳新馬,2018年07月15日 ,芝右1800m, 曇,函館
3歳未勝利,2018年07月15日 ,芝右2000m, 曇,函館
3歳上500万下,2018年07月15日 ,ダ右1000m, 曇,函館
3歳上500万下,2018年07月15日 ,ダ右1700m, 曇,函館
下北半島特別,2018年07月15日 ,芝右1200m, 曇,函館
北海ハンデキャップ,2018年07月15日 ,芝右2600m, 晴,函館
函館記念,2018年07月15日 ,芝右2000m, 晴,函館
渡島特別,2018年07月15日 ,ダ右1700m, 晴,函館
2歳未勝利,2018年07月21日 ,芝右1800m, 曇,函館
3歳未勝利,2018年07月21日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年07月21日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年07月21日 ,ダ右1700m, 晴,函館
3歳未勝利,2018年07月21日 ,芝右1800m, 晴,函館
3歳未勝利,2018年07月21日 ,芝右1200m, 晴,函館
3歳上500万下,2018年07月21日 ,芝右2000m, 晴,函館
3歳上500万下,2018年07月21日 ,ダ右1000m, 晴,函館
3歳上500万下,2018年07月21日 ,芝右1200m, 晴,函館
横津岳特別,2018年07月21日 ,芝右2600m, 晴,函館
函館日刊スポーツ杯,2018年07月21日 ,芝右1200m, 曇,函館
駒場特別,2018年07月21日 ,ダ右1700m, 曇,函館
2歳未勝利,2018年07月22日 ,芝右1200m, 曇,函館
3歳未勝利,2018年07月22日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年07月22日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年07月22日 ,芝右2000m, 曇,函館
2歳新馬,2018年07月22日 ,芝右1800m, 晴,函館
3歳上500万下,2018年07月22日 ,ダ右1000m, 晴,函館
3歳上500万下,2018年07月22日 ,ダ右1700m, 晴,函館
